Time	Average Turbidity	Hourly Rainfall	Hourly Rainfall 1hr ago	Hourly Rainfall 2hrs ago	Rainfall Past 24 Hours
1:00 PM, June 6	349	0	0	0	0
2:00 PM, June 6	222	0	0	0	0
3:00 PM, June 6	615	0	0	0	0
4:00 PM, June 6	475	0	0	0	0
5:00 PM, June 6	596	0	0	0	0
6:00 PM, June 6	581	0	0	0	0
7:00 PM, June 6	631	0	0	0	0
8:00 PM, June 6	641	0	0	0	0
9:00 PM, June 6	647	0	0	0	0
10:00 PM, June 6	650	0	0	0	0
11:00 PM, June 6	652	0	0	0	0
12:00 AM, June 7	655	0	0	0	0
1:00 AM, June 7	660	0	0	0	0
2:00 AM, June 7	667	0	0	0	0
3:00 AM, June 7	622	0	0	0	0
4:00 AM, June 7	449	0	0	0	0
5:00 AM, June 7	470	0	0	0	0
6:00 AM, June 7	653	0	0	0	0
7:00 AM, June 7	500	0	0	0	0
8:00 AM, June 7	551	0	0	0	0
9:00 AM, June 7	608	0	0	0	0
10:00 AM, June 7	688	0	0	0	0
11:00 AM, June 7	703	0	0	0	0
12:00 PM, June 7	697	0	0	0	0
1:00 PM, June 7	622	0	0	0	0
2:00 PM, June 7	530	0	0	0	0
3:00 PM, June 7	371	0	0	0	0
4:00 PM, June 7	281	0	0	0	0
5:00 PM, June 7	282	0.1	0	0	0.1
6:00 PM, June 7	278	0.1	0.1	0	0.2
7:00 PM, June 7	384	0.5	0.1	0.1	0.7
8:00 PM, June 7	721	0.1	0.5	0.1	0.8
9:00 PM, June 7	721	0	0.1	0.5	0.8
