Time	Average Turbidity	Hourly Rainfall	Hourly Rainfall 1hr ago	Hourly Rainfall 2hrs ago	Rainfall Past 24 Hours
11:00 AM, June 17	3086	0	0	0	0.03
12:00 PM, June 17	3323	0	0	0	0.03
1:00 PM, June 17	3331	0	0	0	0.03
2:00 PM, June 17	3339	0	0	0	0.03
3:00 PM, June 17	3342	0	0	0	0.03
4:00 PM, June 17	3342	0	0	0	0.03
5:00 PM, June 17	3343	0	0	0	0.03
6:00 PM, June 17	3345	0.1	0	0	0.11
7:00 PM, June 17	3346	0	0.1	0	0.11
8:00 PM, June 17	3347	0	0	0.1	0.11
9:00 PM, June 17	3348	0	0	0	0.11
10:00 PM, June 17	3349	0	0	0	0.11
11:00 PM, June 17	3349	0	0	0	0.11
12:00 AM, June 18	3349	0	0	0	0.11
1:00 AM, June 18	3349	0	0	0	0.11
2:00 AM, June 18	3351	0	0	0	0.11
3:00 AM, June 18	3351	0	0	0	0.11
4:00 AM, June 18	3350	0	0	0	0.11
5:00 AM, June 18	3348	0	0	0	0.11
6:00 AM, June 18	3344	0	0	0	0.11
7:00 AM, June 18	3343	0	0	0	0.1
8:00 AM, June 18	3344	0	0	0	0.1
9:00 AM, June 18	3342	0	0	0	0.1
10:00 AM, June 18	3344	0	0	0	0.1
11:00 AM, June 18	3349	0	0	0	0.1
12:00 PM, June 18	3355	0	0	0	0.1
1:00 PM, June 18	3358	0	0	0	0.1
2:00 PM, June 18	3359	0	0	0	0.1
3:00 PM, June 18	3360	0	0	0	0.1
4:00 PM, June 18	3358	0	0	0	0.1
5:00 PM, June 18	3358	0	0	0	0.1
6:00 PM, June 18	3358	0	0	0	0.1
7:00 PM, June 18	3358	0	0	0	0
8:00 PM, June 18	3358	0	0	0	0
9:00 PM, June 18	3357	0	0	0	0
10:00 PM, June 18	3357	0	0	0	0
11:00 PM, June 18	3356	0	0	0	0
12:00 AM, June 19	3355	0	0	0	0
1:00 AM, June 19	3355	0	0	0	0
2:00 AM, June 19	3356	0	0	0	0
3:00 AM, June 19	3357	0	0	0	0
4:00 AM, June 19	3357	0	0	0	0
5:00 AM, June 19	3352	0	0	0	0
6:00 AM, June 19	3351	0	0	0	0
7:00 AM, June 19	3349	0	0	0	0
8:00 AM, June 19	3352	0	0	0	0
9:00 AM, June 19	3353	0	0	0	0
10:00 AM, June 19	3352	0	0	0	0
11:00 AM, June 19	3352	0	0	0	0
12:00 PM, June 19	3358	0	0	0	0
1:00 PM, June 19	3358	0	0	0	0
2:00 PM, June 19	3360	0	0	0	0
3:00 PM, June 19	3361	0	0	0	0
4:00 PM, June 19	3360	0	0	0	0
5:00 PM, June 19	3360	0	0	0	0
6:00 PM, June 19	3360	0.06	0	0	0.06
7:00 PM, June 19	3360	0.04	0.06	0	0.1
8:00 PM, June 19	3361	0.07	0.04	0.06	0.17
9:00 PM, June 19	3361	0.07	0.07	0.04	0.24
10:00 PM, June 19	3361	0.03	0.07	0.07	0.27
11:00 PM, June 19	3360	0.01	0.03	0.07	0.28
12:00 AM, June 20	3361	0	0.01	0.03	0.28
1:00 AM, June 20	3361	0	0	0.01	0.28
2:00 AM, June 20	3361	0	0	0	0.28
3:00 AM, June 20	3361	0	0	0	0.28
4:00 AM, June 20	3360	0	0	0	0.28
5:00 AM, June 20	3356	0	0	0	0.28
6:00 AM, June 20	3352	0	0	0	0.28
7:00 AM, June 20	3352	0	0	0	0.28
8:00 AM, June 20	3349	0	0	0	0.28
9:00 AM, June 20	3348	0	0	0	0.28
10:00 AM, June 20	3350	0	0	0	0.28
11:00 AM, June 20	3353	0	0	0	0.28
12:00 PM, June 20	3359	0	0	0	0.28
1:00 PM, June 20	3361	0	0	0	0.28
2:00 PM, June 20	3362	0	0	0	0.28
3:00 PM, June 20	3362	0	0	0	0.28
4:00 PM, June 20	3361	0	0	0	0.28
5:00 PM, June 20	3360	0	0	0	0.28
6:00 PM, June 20	3360	0	0	0	0.28
7:00 PM, June 20	3359	0	0	0	0.22
8:00 PM, June 20	3359	0	0	0	0.18
9:00 PM, June 20	3359	0	0	0	0.11
10:00 PM, June 20	3359	0	0	0	0.04
11:00 PM, June 20	3359	0	0	0	0.01
12:00 AM, June 21	3359	0	0	0	0
1:00 AM, June 21	3359	0	0	0	0
2:00 AM, June 21	3359	0	0	0	0
3:00 AM, June 21	3360	0	0	0	0
4:00 AM, June 21	3359	0	0	0	0
5:00 AM, June 21	3356	0	0	0	0
6:00 AM, June 21	3349	0	0	0	0
7:00 AM, June 21	3349	0	0	0	0
8:00 AM, June 21	3348	0	0	0	0
9:00 AM, June 21	3347	0	0	0	0
10:00 AM, June 21	3350	0	0	0	0
11:00 AM, June 21	3353	0	0	0	0
12:00 PM, June 21	3358	0	0	0	0
1:00 PM, June 21	3359	0	0	0	0
2:00 PM, June 21	3361	0	0	0	0
3:00 PM, June 21	3360	0	0	0	0
4:00 PM, June 21	3360	0	0	0	0
5:00 PM, June 21	3360	0	0	0	0
6:00 PM, June 21	3360	0	0	0	0
7:00 PM, June 21	3360	0	0	0	0
8:00 PM, June 21	3360	0	0	0	0
9:00 PM, June 21	3359	0	0	0	0
10:00 PM, June 21	3359	0	0	0	0
11:00 PM, June 21	3359	0	0	0	0
12:00 AM, June 22	3359	0	0	0	0
1:00 AM, June 22	3359	0	0	0	0
2:00 AM, June 22	3360	0	0	0	0
3:00 AM, June 22	3360	0	0	0	0
4:00 AM, June 22	3359	0	0	0	0
5:00 AM, June 22	3357	0	0	0	0
6:00 AM, June 22	3352	0	0	0	0
7:00 AM, June 22	3348	0	0	0	0
8:00 AM, June 22	3347	0	0	0	0
9:00 AM, June 22	3349	0	0	0	0
10:00 AM, June 22	2806	0	0	0	0
