Time	Average Turbidity	Rainfall	Temperature
11:00 AM, June 17	3086	0	80
12:00 PM, June 17	3323	0	82
1:00 PM, June 17	3331	0	84
2:00 PM, June 17	3339	0	84
3:00 PM, June 17	3342	0	85
4:00 PM, June 17	3342	0	84
5:00 PM, June 17	3343	0	81
6:00 PM, June 17	3345	0.1	78
7:00 PM, June 17	3346	0	77
8:00 PM, June 17	3347	0	75
9:00 PM, June 17	3348	0	74
10:00 PM, June 17	3349	0	74
11:00 PM, June 17	3349	0	74
12:00 AM, June 18	3349	0	74
1:00 AM, June 18	3349	0	75
2:00 AM, June 18	3351	0	76
3:00 AM, June 18	3351	0	76
4:00 AM, June 18	3350	0	76
5:00 AM, June 18	3348	0	76
6:00 AM, June 18	3344	0	78
7:00 AM, June 18	3343	0	80
8:00 AM, June 18	3344	0	84
9:00 AM, June 18	3342	0	86
10:00 AM, June 18	3344	0	87
11:00 AM, June 18	3349	0	88
12:00 PM, June 18	3355	0	90
1:00 PM, June 18	3358	0	92
2:00 PM, June 18	3359	0	92
3:00 PM, June 18	3360	0	91
4:00 PM, June 18	3358	0	92
5:00 PM, June 18	3358	0	91
6:00 PM, June 18	3358	0	90
7:00 PM, June 18	3358	0	88
8:00 PM, June 18	3358	0	85
9:00 PM, June 18	3357	0	85
10:00 PM, June 18	3357	0	84
11:00 PM, June 18	3356	0	82
12:00 AM, June 19	3355	0	80
1:00 AM, June 19	3355	0	79
2:00 AM, June 19	3356	0	78
3:00 AM, June 19	3357	0	77
4:00 AM, June 19	3357	0	77
5:00 AM, June 19	3352	0	77
6:00 AM, June 19	3351	0	78
7:00 AM, June 19	3349	0	80
8:00 AM, June 19	3352	0	82
9:00 AM, June 19	3353	0	84
10:00 AM, June 19	3352	0	87
11:00 AM, June 19	3352	0	89
12:00 PM, June 19	3358	0	91
1:00 PM, June 19	3358	0	92
2:00 PM, June 19	3360	0	94
3:00 PM, June 19	3361	0	94
4:00 PM, June 19	3360	0	94
5:00 PM, June 19	3360	0	93
6:00 PM, June 19	3360	0.06	73
7:00 PM, June 19	3360	0.04	73
8:00 PM, June 19	3361	0.07	74
9:00 PM, June 19	3361	0.07	74
10:00 PM, June 19	3361	0.03	73
11:00 PM, June 19	3360	0.01	74
12:00 AM, June 20	3361	0	73
1:00 AM, June 20	3361	0	72
2:00 AM, June 20	3361	0	72
3:00 AM, June 20	3361	0	71
4:00 AM, June 20	3360	0	70
5:00 AM, June 20	3356	0	68
6:00 AM, June 20	3352	0	69
7:00 AM, June 20	3352	0	71
8:00 AM, June 20	3349	0	74
9:00 AM, June 20	3348	0	77
10:00 AM, June 20	3350	0	79
11:00 AM, June 20	3353	0	82
12:00 PM, June 20	3359	0	85
1:00 PM, June 20	3361	0	86
2:00 PM, June 20	3362	0	84
3:00 PM, June 20	3362	0	86
4:00 PM, June 20	3361	0	86
5:00 PM, June 20	3360	0	86
6:00 PM, June 20	3360	0	85
7:00 PM, June 20	3359	0	83
8:00 PM, June 20	3359	0	78
9:00 PM, June 20	3359	0	76
10:00 PM, June 20	3359	0	73
11:00 PM, June 20	3359	0	72
12:00 AM, June 21	3359	0	73
1:00 AM, June 21	3359	0	73
2:00 AM, June 21	3359	0	72
3:00 AM, June 21	3360	0	70
4:00 AM, June 21	3359	0	69
5:00 AM, June 21	3356	0	69
6:00 AM, June 21	3349	0	71
7:00 AM, June 21	3349	0	76
8:00 AM, June 21	3348	0	80
9:00 AM, June 21	3347	0	83
10:00 AM, June 21	3350	0	86
11:00 AM, June 21	3353	0	88
12:00 PM, June 21	3358	0	91
1:00 PM, June 21	3359	0	90
2:00 PM, June 21	3361	0	91
3:00 PM, June 21	3360	0	91
4:00 PM, June 21	3360	0	88
5:00 PM, June 21	3360	0	87
6:00 PM, June 21	3360	0	87
7:00 PM, June 21	3360	0	85
8:00 PM, June 21	3360	0	83
9:00 PM, June 21	3359	0	81
10:00 PM, June 21	3359	0	80
11:00 PM, June 21	3359	0	79
12:00 AM, June 22	3359	0	77
1:00 AM, June 22	3359	0	76
2:00 AM, June 22	3360	0	75
3:00 AM, June 22	3360	0	73
4:00 AM, June 22	3359	0	74
5:00 AM, June 22	3357	0	72
6:00 AM, June 22	3352	0	74
7:00 AM, June 22	3348	0	78
8:00 AM, June 22	3347	0	82
9:00 AM, June 22	3349	0	85
10:00 AM, June 22	2806	0	88
