Date	Time	Temp.Out	Rain	Rain.Rate	
06/07/25	12:40 a	23.0	0.00	0.0
06/07/25	12:50 a	22.9	0.00	0.0
06/07/25	1:00 a	22.8	0.00	0.0
06/07/25	1:10 a	22.8	0.00	0.0
06/07/25	1:20 a	22.8	0.00	0.0
06/07/25	1:30 a	22.8	0.00	0.0
06/07/25	1:40 a	22.8	0.00	0.0
06/07/25	1:50 a	22.8	0.00	0.0
06/07/25	2:00 a	22.8	0.00	0.0
06/07/25	2:10 a	22.7	0.00	0.0
06/07/25	2:20 a	22.7	0.00	0.0
06/07/25	2:30 a	22.7	0.00	0.0
06/07/25	2:40 a	22.6	0.00	0.0
06/07/25	2:50 a	22.6	0.00	0.0
06/07/25	3:00 a	22.7	0.00	0.0
06/07/25	3:10 a	22.6	0.00	0.0
06/07/25	3:20 a	22.6	0.00	0.0
06/07/25	3:30 a	22.6	0.00	0.0
06/07/25	3:40 a	22.6	0.00	0.0
06/07/25	3:50 a	22.6	0.00	0.0
06/07/25	4:00 a	22.5	0.00	0.0
06/07/25	4:10 a	22.5	0.00	0.0
06/07/25	4:20 a	22.5	0.00	0.0
06/07/25	4:30 a	22.4	0.00	0.0
06/07/25	4:40 a	22.3	0.00	0.0
06/07/25	4:50 a	22.3	0.00	0.0
06/07/25	5:00 a	22.3	0.00	0.0
06/07/25	5:10 a	22.3	0.00	0.0
06/07/25	5:20 a	22.2	0.00	0.0
06/07/25	5:30 a	22.2	0.00	0.0
06/07/25	5:40 a	22.2	0.00	0.0
06/07/25	5:50 a	22.1	0.00	0.0
06/07/25	6:00 a	22.0	0.00	0.0
06/07/25	6:10 a	22.0	0.00	0.0
06/07/25	6:20 a	22.0	0.00	0.0
06/07/25	6:30 a	22.0	0.00	0.0
06/07/25	6:40 a	22.1	0.00	0.0
06/07/25	6:50 a	22.0	0.00	0.0
06/07/25	7:00 a	22.1	0.00	0.0
06/07/25	7:10 a	22.1	0.00	0.0
06/07/25	7:20 a	22.3	0.00	0.0
06/07/25	7:30 a	22.4	0.00	0.0
06/07/25	7:40 a	22.5	0.00	0.0
06/07/25	7:50 a	22.6	0.00	0.0
06/07/25	8:00 a	22.8	0.00	0.0
06/07/25	8:10 a	22.9	0.00	0.0
06/07/25	8:20 a	23.0	0.00	0.0
06/07/25	8:30 a	23.0	0.00	0.0
06/07/25	8:40 a	23.0	0.00	0.0
06/07/25	8:50 a	23.1	0.00	0.0
06/07/25	9:00 a	23.2	0.00	0.0
06/07/25	9:10 a	23.6	0.00	0.0
06/07/25	9:20 a	23.9	0.00	0.0
06/07/25	9:30 a	24.3	0.00	0.0
06/07/25	9:40 a	24.6	0.00	0.0
06/07/25	9:50 a	25.1	0.00	0.0
06/07/25	10:00 a	25.3	0.00	0.0
06/07/25	10:10 a	25.7	0.00	0.0
06/07/25	10:20 a	25.9	0.00	0.0
06/07/25	10:30 a	26.0	0.00	0.0
06/07/25	10:40 a	26.2	0.00	0.0
06/07/25	10:50 a	26.4	0.00	0.0
06/07/25	11:00 a	26.6	0.00	0.0
06/07/25	11:10 a	26.8	0.00	0.0
06/07/25	11:20 a	27.0	0.00	0.0
06/07/25	11:30 a	27.2	0.00	0.0
06/07/25	11:40 a	27.4	0.00	0.0
06/07/25	11:50 a	27.7	0.00	0.0
06/07/25	12:00 p	27.9	0.00	0.0
06/07/25	12:10 p	28.2	0.00	0.0
06/07/25	12:20 p	28.4	0.00	0.0
06/07/25	12:30 p	28.6	0.00	0.0
06/07/25	12:40 p	28.8	0.00	0.0
06/07/25	12:50 p	29.0	0.00	0.0
06/07/25	1:00 p	29.1	0.00	0.0
06/07/25	1:10 p	29.1	0.00	0.0
06/07/25	1:20 p	29.3	0.00	0.0
06/07/25	1:30 p	29.4	0.00	0.0
06/07/25	1:40 p	29.4	0.00	0.0
06/07/25	1:50 p	29.6	0.00	0.0
06/07/25	2:00 p	29.5	0.00	0.0
06/07/25	2:10 p	29.5	0.00	0.0
06/07/25	2:20 p	29.7	0.00	0.0
06/07/25	2:30 p	29.8	0.00	0.0
06/07/25	2:40 p	29.8	0.00	0.0
06/07/25	2:50 p	29.7	0.00	0.0
06/07/25	3:00 p	29.8	0.00	0.0
06/07/25	3:10 p	29.9	0.00	0.0
06/07/25	3:20 p	30.0	0.00	0.0
06/07/25	3:30 p	30.1	0.00	0.0
06/07/25	3:40 p	30.1	0.00	0.0
06/07/25	3:50 p	30.1	0.00	0.0
06/07/25	4:00 p	30.0	0.00	0.0
06/07/25	4:10 p	30.1	0.00	0.0
06/07/25	4:20 p	30.2	0.00	0.0
06/07/25	4:30 p	30.2	0.00	0.0
06/07/25	4:40 p	29.7	0.00	0.0
06/07/25	4:50 p	29.1	0.00	0.0
06/07/25	5:00 p	28.5	0.00	0.0
06/07/25	5:10 p	28.3	0.00	0.0
06/07/25	5:20 p	28.1	0.00	0.0
06/07/25	5:30 p	28.0	0.00	0.0
06/07/25	5:40 p	27.7	0.00	0.0
06/07/25	5:50 p	27.4	0.00	0.0
06/07/25	6:00 p	27.2	0.00	0.0
06/07/25	6:10 p	26.8	0.00	0.0
06/07/25	6:20 p	26.3	0.00	0.0
06/07/25	6:30 p	26.0	0.00	0.0
06/07/25	6:40 p	25.9	0.00	0.0
06/07/25	6:50 p	25.6	0.25	0.0
06/07/25	7:00 p	25.4	0.51	7.4
06/07/25	7:10 p	25.4	0.00	1.3
06/07/25	7:20 p	25.4	0.00	0.0
06/07/25	7:30 p	25.3	0.00	0.0
06/07/25	7:40 p	25.2	0.00	0.0
06/07/25	7:50 p	25.2	0.00	0.0
06/07/25	8:00 p	25.1	0.00	0.0
06/07/25	8:10 p	25.0	0.00	0.0
06/07/25	8:20 p	24.9	0.00	0.0
06/07/25	8:30 p	24.9	0.00	0.0
06/07/25	8:40 p	24.8	0.00	0.0
06/07/25	8:50 p	24.7	0.00	0.0
06/07/25	9:00 p	24.6	0.00	0.0
