		Temp	Hi	Low	Out		Wind		Wind	Hi	Hi	Wind	Heat		THSW			Rain	Solar	Solar	Hi Solar		UV 	Hi 	Heat	Cool	In 	In	In 	In 		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Dew	Speed	Dir	Run	Speed	Dir	Chill	Index	THW	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	UV 	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	ET 	Samp	Tx 	Recept	Int.
06/07/25	12:10 a	23.2	23.2	23.1	88	21.1	0.0	---	0.00	0.0	---	23.2	24.4	24.4	23.5	756.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.034	23.7	59	15.2	24.2	0.00	230	1	100.0	10
06/07/25	12:20 a	23.1	23.1	22.9	88	21.0	0.0	---	0.00	0.0	---	23.1	24.3	24.3	23.4	756.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.033	23.8	60	15.5	24.3	0.00	234	1	100.0	10
06/07/25	12:30 a	22.9	23.0	22.9	88	20.8	0.0	---	0.00	0.0	---	22.9	24.2	24.2	23.3	756.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.032	23.8	60	15.6	24.3	0.00	229	1	100.0	10
06/07/25	12:40 a	23.0	23.0	22.9	89	21.1	0.0	---	0.00	0.0	---	23.0	24.3	24.3	23.4	756.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.032	23.8	59	15.3	24.3	0.00	231	1	100.0	10
06/07/25	12:50 a	22.9	23.0	22.9	89	21.0	0.0	---	0.00	0.0	---	22.9	24.3	24.3	23.3	756.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.032	23.7	59	15.2	24.1	0.00	234	1	100.0	10
06/07/25	1:00 a	22.8	22.9	22.8	89	20.9	0.0	---	0.00	0.0	---	22.8	24.2	24.2	23.2	756.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.031	23.6	59	15.1	24.0	0.00	233	1	100.0	10
06/07/25	1:10 a	22.8	22.8	22.8	89	20.9	0.0	---	0.00	0.0	---	22.8	24.2	24.2	23.2	756.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.031	23.7	59	15.2	24.1	0.00	230	1	100.0	10
06/07/25	1:20 a	22.8	22.8	22.8	89	20.9	0.0	---	0.00	0.0	---	22.8	24.2	24.2	23.2	756.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.031	23.7	60	15.5	24.2	0.00	231	1	100.0	10
06/07/25	1:30 a	22.8	22.8	22.8	89	20.9	0.0	---	0.00	0.0	---	22.8	24.2	24.2	23.2	756.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.031	23.7	60	15.5	24.2	0.00	234	1	100.0	10
06/07/25	1:40 a	22.8	22.8	22.8	89	20.9	0.0	---	0.00	0.0	---	22.8	24.1	24.1	23.2	756.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.031	23.8	60	15.5	24.3	0.00	234	1	100.0	10
06/07/25	1:50 a	22.8	22.8	22.8	90	21.1	0.0	---	0.00	0.0	---	22.8	24.2	24.2	23.2	756.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.031	23.7	59	15.2	24.1	0.00	232	1	100.0	10
06/07/25	2:00 a	22.8	22.8	22.7	90	21.1	0.0	---	0.00	0.0	---	22.8	24.2	24.2	23.2	756.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.031	23.6	59	15.1	23.9	0.00	231	1	100.0	10
06/07/25	2:10 a	22.7	22.7	22.7	90	21.0	0.0	---	0.00	0.0	---	22.7	24.1	24.1	23.2	756.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	23.6	59	15.1	23.9	0.00	233	1	100.0	10
06/07/25	2:20 a	22.7	22.7	22.7	90	20.9	0.0	---	0.00	0.0	---	22.7	24.0	24.0	23.1	756.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	23.6	60	15.3	24.0	0.00	234	1	100.0	10
06/07/25	2:30 a	22.7	22.7	22.6	90	20.9	0.0	---	0.00	0.0	---	22.7	24.0	24.0	23.1	756.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	23.7	60	15.4	24.1	0.00	231	1	100.0	10
06/07/25	2:40 a	22.6	22.7	22.6	90	20.9	0.0	---	0.00	0.0	---	22.6	23.9	23.9	23.0	755.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	23.7	61	15.7	24.2	0.00	230	1	100.0	10
06/07/25	2:50 a	22.6	22.7	22.6	90	20.9	0.0	---	0.00	0.0	---	22.6	23.9	23.9	23.0	755.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	23.7	61	15.8	24.2	0.00	234	1	100.0	10
06/07/25	3:00 a	22.7	22.7	22.6	90	20.9	0.0	---	0.00	0.0	---	22.7	24.0	24.0	23.1	755.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	23.7	61	15.8	24.2	0.00	232	1	100.0	10
06/07/25	3:10 a	22.6	22.7	22.6	91	21.1	0.0	---	0.00	0.0	---	22.6	24.0	24.0	23.1	755.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	23.8	62	16.1	24.3	0.00	232	1	100.0	10
06/07/25	3:20 a	22.6	22.6	22.6	91	21.1	0.0	---	0.00	0.0	---	22.6	24.0	24.0	23.1	755.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.030	23.8	62	16.1	24.3	0.00	229	1	100.0	10
06/07/25	3:30 a	22.6	22.6	22.6	91	21.0	0.0	---	0.00	0.0	---	22.6	23.9	23.9	23.0	755.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	23.7	60	15.5	24.2	0.00	233	1	100.0	10
06/07/25	3:40 a	22.6	22.6	22.5	91	21.0	0.0	---	0.00	0.0	---	22.6	23.9	23.9	23.0	755.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.029	23.6	60	15.4	24.1	0.00	233	1	100.0	10
